,url,winery,name,types,region,country,rating,n_rating,price,review,grapes,regional,food
0,https://www.vivino.com/tarapaca-sarmientos-de-tarapaca-sauvignon-blanc/w/2289104?year=2017&amp;price_id=12757197,Tarapacá,Sarmientos de Tarapacá Sauvignon Blanc 2017,White wine,Central Valley,Chile,3.6,30 ratings,R$38.90.,"Community reviews
peach, passion fruit, apricot, yellow apple and lyche on the rich nose. Impressive.. Light body, med acid bring a great rich palate with nose flavors and banana and lime. Finish is med strength but long with citrus notes of the fruits and a floral add-on. Impressive white.. Yet delicate still safe with fish...
Like
Comments (1)
Firat Balkan
1313 ratings
Rated the 2016 vintage on Apr 7, 2017
Light floral bouquet on the nose and semi dry on the palate
Like
Comment
Ikebana Sushi Bars
104 ratings
Rated on Jun 18, 2018
Nice Sauvignon, fruity and very tasty. Open the appetite soon.
Like
Comment
Jose Fajardo
883 ratings
Rated the 2015 vintage on Oct 23, 2016
Show more reviews","Sauvignon Blanc
","Chilean Sauvignon Blanc
","Shellfish, Vegetarian, Goat cheese"
1,https://www.vivino.com/marques-de-toledo-blanco-verdejo/w/1770848?year=2016&amp;price_id=19066514,Marques de Toledo,Verdejo 2016,White wine,La Mancha,Spain,3.5,266 ratings,R$72.80.,"Community reviews
Decanter Wine Day 2019
Like
Comment
Eduardo Zen
2656 ratings
Rated on May 17, 2019
Fantastic Verdejo, well assambled. Ideal for salads, fisch, pastas or rices
Like
Comment
Javier Rubio
83 ratings
Rated on Oct 5, 2018
Very dry. Lacking fruit somewhat, but still nice and refreshing. Some peach and pear.
Like
Comment
James Ramsden
601 ratings
Rated on Dec 7, 2017
Show more reviews","Verdejo
","Spanish Verdejo
","Pork, Shellfish, Vegetarian, Cured Meat"
2,https://www.vivino.com/paul-mas-vermentino/w/24046?year=2016&amp;price_id=15226073,Paul Mas,Vermentino 2016,White wine,Pays d'Oc,France,3.7,57 ratings,R$100.60.,"Community reviews
A surprise! Vermantino from southern France and it is GOOD:) Resembles the Sardinia ones
Like
Comment
EranCohen
1708 ratings
Rated on Oct 15, 2018
Decent Vermentino. Tropical, guava notes in a nose, citrus, green apple in a palate. Not complex, with medium low acidity. Aftertaste is short. 85
Like
Comment
Beny Chernyak
293 ratings
Rated on Oct 19, 2018
A nice and refreshing white Vermentino this time. Young and crisp, but with enough fruit depth. I rate it a 3.6 star.
Like
Comments (2)
Koen Bitter
1883 ratings
Rated on Nov 15, 2017
Show more reviews","Vermentino
","Languedoc-Roussillon White
","Pasta, Vegetarian, Poultry, Lean fish, Aperitif
Alcohol
13%
Allergy notice
sulfites, milk, egg"
3,https://www.vivino.com/villard-grand-vin-le-pinot-noir/w/778887?year=2012&amp;price_id=15236801,Villard,Grand Vin Le Pinot Noir 2012,Red wine,Casablanca Valley,Chile,3.8,84 ratings,R$242.34.,"Community reviews
Long time ago I drank a pinot noir from chilli and I can honestly say that this one just tastes soo satisfying! In the nose you won't instantly notice the perfume of the magical pinot noir grape, just a fruit BOMB and lavender. In the mouth a nice ballanced piece of wood, raspberry and wallnuts. To explain this wine in 1 sentence: a nice winter evening with your girlfriend/boyfriend and a fireplace. Oh and ofcourse red curtains =). Cheers!!!!
Like
Comment
Merlijn Van Meirvenne
179 ratings
Rated on Mar 8, 2017
Darker notes than CA or OR pinots, more blackberry notes
Like
Comment
Katherine Silverman
337 ratings
Rated on Oct 24, 2014
Highly elegant Pinot Noir from Chile, which keep on surprising me. Red fruits, especially cherries, forest leaves and mushrooms aromas. One of the best expressions of its kind in chile.
Like
Comment
Sam
1639 ratings
Rated on Aug 28, 2016
Show more reviews","Pinot Noir
","Chilean Pinot Noir
","Beef, Veal, Game (deer, venison), Poultry"
4,https://www.vivino.com/quinta-da-neve-pinot-noir/w/1267225?year=2011&amp;price_id=595497,Quinta da Neve,Pinot Noir 2011,Red wine,Santa Catarina,Brazil,3.5,266 ratings,R$126.50.,"Community reviews
A rather ""south Americanish"" Pinot, but still very interesting for a Brazilian one
Like
Comment
Rodrigo Pereira
1259 ratings
Rated on Feb 28, 2018
Mushroom bomb on the nose and taste..light body.. Dry..tobacco finish
Like
Comment
Raf
198 ratings
Rated on Aug 29, 2015
Tres agreable sur les fruits confis
Like
Comment
Gabriel Felipe Martinez
189 ratings
Rated on Mar 25, 2017
Show more reviews","Pinot Noir
","Brazilian Pinot Noir
","Beef, Veal, Game (deer, venison), Poultry"
5,https://www.vivino.com/pinol-mather-teresina-seleccio-vinyes-velles/w/1183825?year=2005&amp;price_id=3792660,Celler Piñol,Mather Teresina Selecció Vinyes Velles 2005,Red wine,Terra Alta,Spain,4.1,26 ratings,R$206.56.,"Community reviews
Very good negre, quite complex smell and silky tannins, aftertaste too sweet for me. DRINK NOW OR NEVER last call for the vintage
Like
Comment
René Taboada
253 ratings
Rated the 2006 vintage on Jun 4, 2017
dd26 lovely florals rich ripe casis plum aromas balance big deep layer complex evolving smoke meat cocoa spices leather savoury sweet cherry finish.
Like
Comment
Chong YY
1306 ratings
Rated the 2006 vintage on May 10, 2017
Seriously layered.Boasting rich, dense chocolate coated cherry notes with good length. 5.13.17.7=92
Like
Comments (1)
Wine Daddy
2170 ratings
Rated the 2006 vintage on May 7, 2014
Show more reviews","Morellino, Cariñena, Garnacha
","Spanish Red
","Beef, Pasta, Veal, Poultry"
6,https://www.vivino.com/mas-des-mas-terrasses-du-larzac/w/1271176?year=2012&amp;price_id=18721022,Mas des Mas,Terrasses du Larzac 2012,Red wine,Terrasses du Larzac,France,4.2,93 ratings,R$277.50.,"Community reviews
Perfect breakup wine
Like
Comment
Hans Dijkstra
365 ratings
Rated on May 28, 2017
Dry, deep, structured, classic.
Like
Comments (2)
Grigorhaig
1120 ratings
Rated on Apr 13, 2019
Full bodied, very nice spicy aroma, with low tannins. French wines are not my favourite but this has a sophisticated taste that gives a warm feeling.
Like
Comment
Absinth
47 ratings
Rated on Dec 1, 2015
Show more reviews","Shiraz/Syrah, Grenache
","Languedoc-Roussillon Red
","Beef, Pasta, Veal"
7,https://www.vivino.com/alicia-brote-negro-coleccion-de-familia/w/1266838?year=2009&amp;price_id=3773320,Viña Alicia,Brote Negro (Colección de Familia) 2009,Red wine,Lujan de Cuyo,Argentina,4.4,190 ratings,R$463.30.,"Summary
Winery
Viña Alicia
Grapes
Malbec
Region
Lujan de Cuyo
Regional styles
Argentinian Malbec
Food pairing
Beef, Lamb, Poultry","Malbec
","Argentinian Malbec
","Beef, Lamb, Poultry"
8,https://www.vivino.com/perinet-perinet/w/99025?year=2005&amp;price_id=16958599,Perinet,Perinet 2005,Red wine,Priorat,Spain,4,261 ratings,R$288.20.,"Community reviews
This Priorat 2005 is really a character. The nose features mostly black fruits and vanilla. In the mouth, vivid acidity (cranberry like), fresh and firm tannins make me wonder if this is really a 2005. It's body is surprisingly thin when compared with the characters. It could still stay in your cellar for many years but enjoy now is also pleasant especially with tapas.
Like
Comments (4)
Howard Wang
767 ratings
Rated on Nov 20, 2015
relatively versatile. good combination of fruity, spicy and barique flavors for both nose and palate. very nice for price I paid (7 bucks only!!)
Like
Comment
WineGuyG
599 ratings
Rated on May 9, 2014
This Spanish wine from the Priorat region is a blend of 5 grapes (45% Cariñena + 35% Garnacha + 10% Cab Sauv + 7% Merlot + 3% Syrah) that stayed for 15 months in new French oak barrels. Dark rubi to grenade red color. Very nice and intense red fruit aromas with notes of spices, oak and coffee. Full-bodied (14.5%), not completely balanced wine due to some overacidity, strong alcohol and robust, almost rounded tannins, leaving a persistent, dry finish. An 88-GB pts mature wine that might need some decanting.
Like
Comment
Roberto Bassan
1302 ratings
Rated on Dec 14, 2016
Show more reviews","Shiraz/Syrah, Cabernet Sauvignon, Grenache, Merlot
","Spanish Priorat Red
","Beef, Lamb, Game (deer, venison), Poultry"
9,https://www.vivino.com/edetaria-blanca/w/1622859?year=2009&amp;price_id=16958623,Edetària,Blanca 2009,White wine,Terra Alta,Spain,4,34 ratings,R$364.10.,"Community reviews
Tasty delight found at less then half the list price.
Like
Comment
km AM
791 ratings
Rated on Apr 14, 2017
Intense red wine best served with red meat, mushrooms etc.
Like
Comment
Vivino User
10 ratings
Rated on Dec 2, 2013
Great wine, rich, clean and fresh first inox then oak
Like
Comment
Koert Welvaert
1969 ratings
Rated the 2011 vintage on Feb 3, 2015
Show more reviews","Grenache Blanc, Macabeo
","Winery
Edetària
Grapes
Grenache Blanc, Macabeo
Region
Terra Alta
","Rich fish (salmon, tuna etc), Shellfish, Poultry"
